"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.57575,"test",0.141272922021332,0.9
"2",0,"affect",1,0.0161290322580645,0.29725,"test",0.0790289985041624,0.9
"3",0,"enable",1,0.0161290322580645,0.09375,"test",0.00602501463319459,0.9
"4",0,"cause",1,0.0161290322580645,0.03325,"test",0.000293127536420395,0.9
"5",1,"no_difference",6,0.0967741935483871,0.13275,"train",0.00129425864984391,0.9
"6",1,"affect",7,0.112903225806452,0.3315,"train",0.0477845496878252,0.9
"7",1,"enable",47,0.758064516129032,0.32675,"train",0.186032211823621,0.9
"8",1,"cause",2,0.032258064516129,0.209,"train",0.0312377117585848,0.9
"9",2,"no_difference",39,0.629032258064516,0.27125,"train",0.128008144185744,0.9
"10",2,"affect",15,0.241935483870968,0.39825,"train",0.0244342279526535,0.9
"11",2,"enable",2,0.032258064516129,0.23125,"train",0.0395977903876171,0.9
"12",2,"cause",6,0.0967741935483871,0.09925,"train",6.12961758584811e-06,0.9
"13",3,"no_difference",3,0.0483870967741935,0.20325,"train",0.0239825187955255,0.9
"14",3,"affect",22,0.354838709677419,0.37975,"train",0.000620572385535898,0.9
"15",3,"enable",7,0.112903225806452,0.2755,"train",0.0264377109781478,0.9
"16",3,"cause",30,0.483870967741935,0.1415,"train",0.117217879552549,0.9
"17",4,"no_difference",36,0.580645161290323,0.25525,"test",0.105882010991155,0.9
"18",4,"affect",18,0.290322580645161,0.3925,"test",0.0104402250260146,0.9
"19",4,"enable",6,0.0967741935483871,0.24025,"test",0.0205853070369407,0.9
"20",4,"cause",2,0.032258064516129,0.112,"test",0.00635877627471384,0.9
"21",5,"no_difference",1,0.0161290322580645,0.0665,"train",0.00253723439125911,0.9
"22",5,"affect",4,0.0645161290322581,0.2135,"train",0.0221961938085328,0.9
"23",5,"enable",6,0.0967741935483871,0.35125,"train",0.0647579360691988,0.9
"24",5,"cause",51,0.82258064516129,0.36875,"train",0.205962254487513,0.9
"25",6,"no_difference",4,0.0645161290322581,0.052,"train",0.000156653485952133,0.9
"26",6,"affect",27,0.435483870967742,0.22275,"train",0.0452556998569199,0.9
"27",6,"enable",12,0.193548387096774,0.36925,"train",0.030871056776795,0.9
"28",6,"cause",19,0.306451612903226,0.356,"train",0.00245504266389178,0.9
"29",7,"no_difference",13,0.209677419354839,0.17425,"test",0.0012551020421436,0.9
"30",7,"affect",3,0.0483870967741935,0.36525,"test",0.100402099440687,0.9
"31",7,"enable",45,0.725806451612903,0.302,"test",0.17961190842872,0.9
"32",7,"cause",1,0.0161290322580645,0.1585,"test",0.0202694924557752,0.9
"33",8,"no_difference",2,0.032258064516129,0.154,"test",0.014821098855359,0.9
"34",8,"affect",19,0.306451612903226,0.34125,"test",0.00121092774453694,0.9
"35",8,"enable",16,0.258064516129032,0.32475,"test",0.0044469537591051,0.9
"36",8,"cause",25,0.403225806451613,0.18,"test",0.0498297606659729,0.9
"37",9,"no_difference",5,0.0806451612903226,0.0345,"train",0.00212937591050989,0.9
"38",9,"affect",10,0.161290322580645,0.14375,"train",0.000307662916233091,0.9
"39",9,"enable",7,0.112903225806452,0.32075,"train",0.0432002815426639,0.9
"40",9,"cause",40,0.645161290322581,0.501,"train",0.0207824776274714,0.9
"41",10,"no_difference",2,0.032258064516129,0.11425,"train",0.00672267748439126,0.9
"42",10,"affect",30,0.483870967741935,0.2725,"train",0.0446776860041623,0.9
"43",10,"enable",12,0.193548387096774,0.3585,"train",0.0272090345993756,0.9
"44",10,"cause",18,0.290322580645161,0.25475,"train",0.00126540849375651,0.9
"45",11,"no_difference",1,0.0161290322580645,0.112,"test",0.00919124245577523,0.9
"46",11,"affect",16,0.258064516129032,0.27725,"test",0.000368082791363164,0.9
"47",11,"enable",33,0.532258064516129,0.36025,"test",0.0295867742585848,0.9
"48",11,"cause",12,0.193548387096774,0.2505,"test",0.00324348621227888,0.9
"49",12,"no_difference",0,0,0.02275,"test",0.0005175625,0.9
"50",12,"affect",1,0.0161290322580645,0.086,"test",0.00488195213319459,0.9
"51",12,"enable",4,0.0645161290322581,0.241,"test",0.0311465567117586,0.9
"52",12,"cause",57,0.919354838709677,0.65025,"test",0.0724174142169615,0.9
"53",13,"no_difference",1,0.0161290322580645,0.0225,"test",4.05892299687825e-05,0.9
"54",13,"affect",13,0.209677419354839,0.08475,"test",0.0156068601066597,0.9
"55",13,"enable",12,0.193548387096774,0.24925,"test",0.00310266968002081,0.9
"56",13,"cause",36,0.580645161290323,0.6435,"test",0.00395073074921955,0.9
"57",14,"no_difference",1,0.0161290322580645,0.055,"train",0.00151095213319459,0.9
"58",14,"affect",23,0.370967741935484,0.20425,"train",0.0277948054760666,0.9
"59",14,"enable",23,0.370967741935484,0.33375,"train",0.00138516031477628,0.9
"60",14,"cause",15,0.241935483870968,0.407,"train",0.0272462944849115,0.9
"61",15,"no_difference",0,0,0.02,"train",4e-04,0.9
"62",15,"affect",12,0.193548387096774,0.08475,"train",0.0118370890348595,0.9
"63",15,"enable",9,0.145161290322581,0.2305,"train",0.00728269536940687,0.9
"64",15,"cause",41,0.661290322580645,0.66475,"train",1.19693678459936e-05,0.9
"65",16,"no_difference",1,0.0161290322580645,0.112,"test",0.00919124245577523,0.9
"66",16,"affect",8,0.129032258064516,0.28925,"test",0.0256697248309053,0.9
"67",16,"enable",7,0.112903225806452,0.343,"test",0.0529445254942768,0.9
"68",16,"cause",46,0.741935483870968,0.25575,"test",0.236376324726847,0.9
"69",17,"no_difference",6,0.0967741935483871,0.4,"train",0.091945889698231,0.9
"70",17,"affect",41,0.661290322580645,0.38675,"train",0.0753723887226847,0.9
"71",17,"enable",11,0.17741935483871,0.15525,"train",0.000491480293964621,0.9
"72",17,"cause",4,0.0645161290322581,0.058,"train",4.24599375650364e-05,0.9
"73",18,"no_difference",2,0.032258064516129,0.07575,"train",0.00189154845213319,0.9
"74",18,"affect",2,0.032258064516129,0.2295,"train",0.0389043811134235,0.9
"75",18,"enable",55,0.887096774193548,0.346,"train",0.292785719042664,0.9
"76",18,"cause",3,0.0483870967741935,0.34875,"train",0.0902178736342352,0.9
"77",19,"no_difference",6,0.0967741935483871,0.1115,"test",0.000216849375650364,0.9
"78",19,"affect",22,0.354838709677419,0.2755,"test",0.00629463085327783,0.9
"79",19,"enable",18,0.290322580645161,0.3515,"test",0.00374267663891779,0.9
"80",19,"cause",16,0.258064516129032,0.2615,"test",1.18025494276796e-05,0.9
"81",20,"no_difference",11,0.17741935483871,0.1765,"test",8.45213319458931e-07,0.9
"82",20,"affect",36,0.580645161290323,0.356,"test",0.0504654484911551,0.9
"83",20,"enable",4,0.0645161290322581,0.3025,"test",0.0566363228407908,0.9
"84",20,"cause",11,0.17741935483871,0.165,"test",0.000154240374609781,0.9
"85",21,"no_difference",2,0.032258064516129,0.0615,"test",0.000855090790842872,0.9
"86",21,"affect",15,0.241935483870968,0.18575,"test",0.00315680859781478,0.9
"87",21,"enable",30,0.483870967741935,0.34425,"test",0.0194940146331946,0.9
"88",21,"cause",15,0.241935483870968,0.4085,"test",0.0277437380332986,0.9
"89",22,"no_difference",61,0.983870967741935,0.56525,"test",0.175243514633195,0.9
"90",22,"affect",0,0,0.3145,"test",0.09891025,0.9
"91",22,"enable",1,0.0161290322580645,0.09025,"test",0.00549391785900104,0.9
"92",22,"cause",0,0,0.03,"test",9e-04,0.9
"93",23,"no_difference",60,0.967741935483871,0.55275,"train",0.172218306516649,0.9
"94",23,"affect",0,0,0.3245,"train",0.10530025,0.9
"95",23,"enable",1,0.0161290322580645,0.09125,"train",0.00564315979448491,0.9
"96",23,"cause",1,0.0161290322580645,0.0315,"train",0.000236266649323621,0.9
"97",24,"no_difference",2,0.032258064516129,0.056,"train",0.000563679500520291,0.9
"98",24,"affect",31,0.5,0.20675,"train",0.0859955625,0.9
"99",24,"enable",18,0.290322580645161,0.34525,"train",0.00301702139698231,0.9
"100",24,"cause",11,0.17741935483871,0.392,"train",0.0460448532778356,0.9
"101",25,"no_difference",10,0.161290322580645,0.2935,"train",0.0174793988033299,0.9
"102",25,"affect",3,0.0483870967741935,0.40925,"train",0.130222034924558,0.9
"103",25,"enable",48,0.774193548387097,0.2155,"train",0.312138481009365,0.9
"104",25,"cause",1,0.0161290322580645,0.08175,"train",0.00430611140738814,0.9
"105",26,"no_difference",0,0,0.10425,"test",0.0108680625,0.9
"106",26,"affect",29,0.467741935483871,0.2865,"test",0.0328486391779396,0.9
"107",26,"enable",7,0.112903225806452,0.342,"test",0.0524853319458897,0.9
"108",26,"cause",26,0.419354838709677,0.26725,"test",0.023135881958897,0.9
"109",27,"no_difference",5,0.0806451612903226,0.0955,"train",0.000220666233090531,0.9
"110",27,"affect",22,0.354838709677419,0.26225,"train",0.00857266915972946,0.9
"111",27,"enable",22,0.354838709677419,0.38775,"train",0.00108315303069719,0.9
"112",27,"cause",13,0.209677419354839,0.2545,"train",0.00200906373569199,0.9
"113",28,"no_difference",24,0.387096774193548,0.24025,"test",0.021563975091051,0.9
"114",28,"affect",31,0.5,0.39375,"test",0.0112890625,0.9
"115",28,"enable",0,0,0.25225,"test",0.0636300625,0.9
"116",28,"cause",7,0.112903225806452,0.11375,"test",7.17026534859533e-07,0.9
