"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.7425,"test",0.0437282062955255,1
"2",0,"affect",1,0.0161290322580645,0.206,"test",0.0360509843912591,1
"3",0,"enable",1,0.0161290322580645,0.0385,"test",0.000500460197710718,1
"4",0,"cause",1,0.0161290322580645,0.013,"test",9.79084287200833e-06,1
"5",1,"no_difference",6,0.0967741935483871,0.27775,"train",0.0327522425208117,1
"6",1,"affect",7,0.112903225806452,0.43875,"train",0.106176120252341,1
"7",1,"enable",47,0.758064516129032,0.197,"train",0.314793391259105,1
"8",1,"cause",2,0.032258064516129,0.0865,"train",0.00294218756503642,1
"9",2,"no_difference",39,0.629032258064516,0.422,"test",0.0428623558792924,1
"10",2,"affect",15,0.241935483870968,0.40125,"test",0.0253811150494277,1
"11",2,"enable",2,0.032258064516129,0.13175,"test",0.00989864522632674,1
"12",2,"cause",6,0.0967741935483871,0.045,"test",0.00268056711758585,1
"13",3,"no_difference",3,0.0483870967741935,0.223,"test",0.0304896659729449,1
"14",3,"affect",22,0.354838709677419,0.4255,"test",0.00499301795005202,1
"15",3,"enable",7,0.112903225806452,0.2355,"test",0.0150299690426639,1
"16",3,"cause",30,0.483870967741935,0.116,"test",0.135329048907388,1
"17",4,"no_difference",36,0.580645161290323,0.36425,"train",0.0468268658298647,1
"18",4,"affect",18,0.290322580645161,0.42525,"train",0.0182054084937565,1
"19",4,"enable",6,0.0967741935483871,0.15475,"train",0.00336119413371488,1
"20",4,"cause",2,0.032258064516129,0.05575,"train",0.000551871032778356,1
"21",5,"no_difference",1,0.0161290322580645,0.179,"test",0.0265269521331946,1
"22",5,"affect",4,0.0645161290322581,0.3865,"test",0.103673613163371,1
"23",5,"enable",6,0.0967741935483871,0.27525,"test",0.0318536134885536,1
"24",5,"cause",51,0.82258064516129,0.15925,"test",0.440007544810094,1
"25",6,"no_difference",4,0.0645161290322581,0.15625,"test",0.00841510308272633,1
