,trial,entity,is_causer,is_preventer
0,0,A,False,False
1,0,D,True,False
2,1,A,True,False
3,1,D,True,False
4,1,box,False,True
5,2,A,False,False
6,3,A,False,False
7,3,D,True,False
8,4,A,False,False
9,5,A,True,False
10,5,D,True,False
11,6,A,True,False
12,6,D,True,False
13,7,A,True,False
14,7,D,True,False
15,8,A,True,False
16,8,D,True,False
17,9,A,True,False
18,10,A,True,False
19,10,D,True,False
20,11,A,True,False
21,11,box,True,False
22,12,A,True,False
23,13,A,True,False
24,13,D,False,False
25,14,A,True,False
26,15,A,True,False
27,16,A,True,False
28,16,D,True,False
29,17,A,False,True
30,17,D,False,False
31,17,box,True,False
32,18,A,True,False
33,18,box,False,True
34,19,A,True,False
35,19,D,True,False
36,20,A,False,False
37,21,A,True,False
38,22,A,True,False
39,22,D,True,False
40,23,A,True,False
41,23,D,True,False
42,24,A,True,False
43,24,D,True,False
44,25,A,True,False
45,25,D,True,False
46,26,A,True,False
47,26,D,True,False
48,27,A,True,False
49,28,A,False,False
50,29,A,False,False
51,29,D,True,False
52,30,A,False,False
53,30,D,True,False
54,31,A,True,False
55,31,D,True,False
56,31,box,False,True
