,uncertainty_noise,trial,whether,how,sufficient,moving
253,1.3,13,1.0,1.0,1.0,1.0
254,1.3,14,0.991,1.0,0.993,0.0
255,1.3,15,0.985,1.0,0.986,1.0
256,1.3,16,1.0,1.0,0.0,1.0
257,1.3,17,0.405,1.0,0.076,0.0
258,1.3,18,1.0,0.0,1.0,1.0
259,1.3,19,0.895,1.0,0.107,1.0
260,1.3,20,0.436,1.0,0.394,1.0
261,1.3,21,1.0,1.0,1.0,0.0
262,1.3,22,0.0,0.0,0.0,1.0
263,1.3,23,0.0,0.0,0.0,1.0
264,1.3,24,1.0,1.0,0.401,1.0
265,1.3,25,1.0,0.0,0.0,1.0
266,1.3,26,0.908,1.0,0.108,1.0
267,1.3,27,0.739,1.0,0.741,0.0
268,1.3,28,0.211,1.0,0.227,1.0
269,1.3,29,0.0,0.0,0.0,1.0
270,1.4,0,0.0,0.0,0.0,1.0
271,1.4,1,0.342,0.0,1.0,1.0
272,1.4,2,0.0,1.0,0.0,1.0
273,1.4,3,0.524,1.0,0.0,1.0
274,1.4,4,0.194,1.0,0.171,1.0
275,1.4,5,0.0,1.0,1.0,1.0
276,1.4,6,0.002,1.0,0.991,1.0
277,1.4,7,0.174,0.0,1.0,1.0
278,1.4,8,0.584,1.0,0.0,1.0
279,1.4,9,0.735,1.0,0.717,1.0
280,1.4,10,0.857,1.0,0.078,1.0
281,1.4,11,0.983,1.0,0.016,1.0
282,1.4,12,1.0,1.0,1.0,1.0
283,1.4,13,1.0,1.0,1.0,1.0
284,1.4,14,0.986,1.0,0.989,0.0
285,1.4,15,0.971,1.0,0.973,1.0
286,1.4,16,1.0,1.0,0.0,1.0
287,1.4,17,0.406,1.0,0.088,0.0
288,1.4,18,1.0,0.0,1.0,1.0
289,1.4,19,0.854,1.0,0.113,1.0
290,1.4,20,0.445,1.0,0.46,1.0
291,1.4,21,1.0,1.0,1.0,0.0
292,1.4,22,0.0,0.0,0.0,1.0
293,1.4,23,0.0,0.0,0.0,1.0
294,1.4,24,1.0,1.0,0.426,1.0
295,1.4,25,1.0,0.0,0.0,1.0
296,1.4,26,0.888,1.0,0.111,1.0
297,1.4,27,0.711,1.0,0.701,0.0
298,1.4,28,0.232,1.0,0.263,1.0
299,1.4,29,0.0,0.0,0.0,1.0
300,1.5,0,0.0,0.0,0.0,1.0
301,1.5,1,0.365,0.0,1.0,1.0
302,1.5,2,0.0,1.0,0.0,1.0
303,1.5,3,0.546,1.0,0.0,1.0
304,1.5,4,0.218,1.0,0.223,1.0
305,1.5,5,0.0,1.0,1.0,1.0
306,1.5,6,0.002,1.0,0.991,1.0
307,1.5,7,0.205,0.0,1.0,1.0
308,1.5,8,0.579,1.0,0.0,1.0
309,1.5,9,0.7,1.0,0.697,1.0
310,1.5,10,0.869,1.0,0.071,1.0
311,1.5,11,0.971,1.0,0.022,1.0
312,1.5,12,1.0,1.0,1.0,1.0
313,1.5,13,1.0,1.0,1.0,1.0
314,1.5,14,0.984,1.0,0.98,0.0
315,1.5,15,0.976,1.0,0.969,1.0
