"","uncertainty_noise","trial","whether","how","sufficient","moving","participant","response"
"1",1.5,0,0,0,0,1,1,"no_difference"
"2",1.5,0,0,0,0,1,2,"no_difference"
"3",1.5,0,0,0,0,1,3,"no_difference"
"4",1.5,0,0,0,0,1,4,"no_difference"
"5",1.5,0,0,0,0,1,5,"no_difference"
"6",1.5,0,0,0,0,1,6,"no_difference"
"7",1.5,0,0,0,0,1,7,"no_difference"
"8",1.5,0,0,0,0,1,8,"no_difference"
"9",1.5,0,0,0,0,1,9,"no_difference"
"10",1.5,0,0,0,0,1,10,"no_difference"
"11",1.5,0,0,0,0,1,11,"no_difference"
"12",1.5,0,0,0,0,1,12,"no_difference"
"13",1.5,0,0,0,0,1,13,"no_difference"
"14",1.5,0,0,0,0,1,14,"no_difference"
"15",1.5,0,0,0,0,1,15,"no_difference"
"16",1.5,0,0,0,0,1,16,"no_difference"
"17",1.5,0,0,0,0,1,17,"no_difference"
"18",1.5,0,0,0,0,1,18,"no_difference"
"19",1.5,0,0,0,0,1,19,"no_difference"
"20",1.5,0,0,0,0,1,20,"no_difference"
"21",1.5,0,0,0,0,1,21,"no_difference"
"22",1.5,0,0,0,0,1,22,"no_difference"
"23",1.5,0,0,0,0,1,23,"no_difference"
"24",1.5,0,0,0,0,1,24,"no_difference"
"25",1.5,0,0,0,0,1,25,"no_difference"
"26",1.5,0,0,0,0,1,26,"no_difference"
"27",1.5,0,0,0,0,1,27,"no_difference"
"28",1.5,0,0,0,0,1,28,"no_difference"
"29",1.5,0,0,0,0,1,30,"no_difference"
"30",1.5,0,0,0,0,1,31,"no_difference"
"31",1.5,0,0,0,0,1,32,"no_difference"
"32",1.5,0,0,0,0,1,33,"no_difference"
"33",1.5,0,0,0,0,1,34,"no_difference"
"34",1.5,0,0,0,0,1,35,"affect"
"35",1.5,0,0,0,0,1,36,"no_difference"
"36",1.5,0,0,0,0,1,37,"no_difference"
"37",1.5,0,0,0,0,1,38,"no_difference"
"38",1.5,0,0,0,0,1,39,"no_difference"
"39",1.5,0,0,0,0,1,40,"enable"
"40",1.5,0,0,0,0,1,41,"no_difference"
"41",1.5,0,0,0,0,1,42,"no_difference"
"42",1.5,0,0,0,0,1,43,"no_difference"
"43",1.5,0,0,0,0,1,44,"no_difference"
"44",1.5,0,0,0,0,1,45,"no_difference"
"45",1.5,0,0,0,0,1,46,"no_difference"
"46",1.5,0,0,0,0,1,47,"no_difference"
"47",1.5,0,0,0,0,1,48,"no_difference"
"48",1.5,0,0,0,0,1,49,"no_difference"
"49",1.5,0,0,0,0,1,50,"no_difference"
"50",1.5,0,0,0,0,1,51,"no_difference"
"51",1.5,0,0,0,0,1,52,"cause"
"52",1.5,0,0,0,0,1,53,"no_difference"
"53",1.5,0,0,0,0,1,54,"no_difference"
"54",1.5,0,0,0,0,1,55,"no_difference"
"55",1.5,0,0,0,0,1,56,"no_difference"
"56",1.5,0,0,0,0,1,57,"no_difference"
"57",1.5,0,0,0,0,1,58,"no_difference"
"58",1.5,0,0,0,0,1,59,"no_difference"
"59",1.5,0,0,0,0,1,60,"no_difference"
"60",1.5,0,0,0,0,1,61,"no_difference"
"61",1.5,0,0,0,0,1,62,"no_difference"
"62",1.5,0,0,0,0,1,63,"no_difference"
"63",1.5,1,0.365,0,1,1,1,"enable"
"64",1.5,1,0.365,0,1,1,2,"enable"
"65",1.5,1,0.365,0,1,1,3,"enable"
"66",1.5,1,0.365,0,1,1,4,"enable"
"67",1.5,1,0.365,0,1,1,5,"enable"
"68",1.5,1,0.365,0,1,1,6,"no_difference"
"69",1.5,1,0.365,0,1,1,7,"enable"
"70",1.5,1,0.365,0,1,1,8,"enable"
"71",1.5,1,0.365,0,1,1,9,"enable"
"72",1.5,1,0.365,0,1,1,10,"enable"
"73",1.5,1,0.365,0,1,1,11,"affect"
"74",1.5,1,0.365,0,1,1,12,"no_difference"
"75",1.5,1,0.365,0,1,1,13,"enable"
"76",1.5,1,0.365,0,1,1,14,"enable"
"77",1.5,1,0.365,0,1,1,15,"enable"
"78",1.5,1,0.365,0,1,1,16,"enable"
"79",1.5,1,0.365,0,1,1,17,"enable"
"80",1.5,1,0.365,0,1,1,18,"enable"
"81",1.5,1,0.365,0,1,1,19,"cause"
"82",1.5,1,0.365,0,1,1,20,"enable"
"83",1.5,1,0.365,0,1,1,21,"enable"
"84",1.5,1,0.365,0,1,1,22,"enable"
"85",1.5,1,0.365,0,1,1,23,"enable"
