"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.79775,"test",0.0236737929890739,0.9
"2",0,"affect",1,0.0161290322580645,0.1435,"test",0.0162233634235172,0.9
"3",0,"enable",1,0.0161290322580645,0.0465,"test",0.000922395681581686,0.9
"4",0,"cause",1,0.0161290322580645,0.01225,"test",1.50468912591051e-05,0.9
"5",1,"no_difference",6,0.0967741935483871,0.21275,"train",0.013450387682102,0.9
"6",1,"affect",7,0.112903225806452,0.33825,"train",0.0507811686394381,0.9
"7",1,"enable",47,0.758064516129032,0.308,"train",0.20255806867846,0.9
"8",1,"cause",2,0.032258064516129,0.141,"train",0.0118248085327784,0.9
"9",2,"no_difference",39,0.629032258064516,0.404,"test",0.050639517169615,0.9
"10",2,"affect",15,0.241935483870968,0.3315,"test",0.00802180254942768,0.9
"11",2,"enable",2,0.032258064516129,0.2005,"test",0.028305348855359,0.9
"12",2,"cause",6,0.0967741935483871,0.064,"test",0.00107414776274714,0.9
"13",3,"no_difference",3,0.0483870967741935,0.25,"train",0.0406477627471384,0.9
"14",3,"affect",22,0.354838709677419,0.3275,"train",0.000747405046826223,0.9
"15",3,"enable",7,0.112903225806452,0.29775,"train",0.0341683299297607,0.9
"16",3,"cause",30,0.483870967741935,0.12475,"train",0.128967869471904,0.9
"17",4,"no_difference",36,0.580645161290323,0.36175,"train",0.0479150916363163,0.9
"18",4,"affect",18,0.290322580645161,0.34575,"train",0.00307219881633715,0.9
"19",4,"enable",6,0.0967741935483871,0.2175,"train",0.0145747203433923,0.9
"20",4,"cause",2,0.032258064516129,0.075,"train",0.00182687304890739,0.9
"21",5,"no_difference",1,0.0161290322580645,0.09475,"test",0.00618125656867846,0.9
"22",5,"affect",4,0.0645161290322581,0.1915,"test",0.0161249034859521,0.9
"23",5,"enable",6,0.0967741935483871,0.389,"test",0.0853959219562955,0.9
"24",5,"cause",51,0.82258064516129,0.32475,"test",0.247835351261707,0.9
"25",6,"no_difference",4,0.0645161290322581,0.0735,"train",8.07099375650364e-05,0.9
"26",6,"affect",27,0.435483870967742,0.2135,"train",0.0492768389698231,0.9
"27",6,"enable",12,0.193548387096774,0.3965,"train",0.0411893571800208,0.9
"28",6,"cause",19,0.306451612903226,0.3165,"train",0.000100970083246618,0.9
"29",7,"no_difference",13,0.209677419354839,0.326,"train",0.0135309427679501,0.9
"30",7,"affect",3,0.0483870967741935,0.33325,"train",0.0811468736342352,0.9
"31",7,"enable",45,0.725806451612903,0.2555,"train",0.22118815842872,0.9
"32",7,"cause",1,0.0161290322580645,0.08525,"train",0.00477770818158169,0.9
"33",8,"no_difference",2,0.032258064516129,0.149,"train",0.0136286795005203,0.9
"34",8,"affect",19,0.306451612903226,0.2675,"train",0.00151722814776275,0.9
"35",8,"enable",16,0.258064516129032,0.3795,"train",0.0147465767429761,0.9
"36",8,"cause",25,0.403225806451613,0.204,"train",0.0396909219562955,0.9
"37",9,"no_difference",5,0.0806451612903226,0.0245,"train",0.00315227913631634,0.9
"38",9,"affect",10,0.161290322580645,0.07125,"train",0.00810725969042664,0.9
"39",9,"enable",7,0.112903225806452,0.2675,"train",0.023900162591051,0.9
"40",9,"cause",40,0.645161290322581,0.63675,"train",7.07498048907379e-05,0.9
"41",10,"no_difference",2,0.032258064516129,0.087,"test",0.00299667950052029,0.9
"42",10,"affect",30,0.483870967741935,0.17425,"test",0.0958651436654527,0.9
"43",10,"enable",12,0.193548387096774,0.38275,"test",0.0357972503251821,0.9
"44",10,"cause",18,0.290322580645161,0.356,"test",0.00431352341311134,0.9
"45",11,"no_difference",1,0.0161290322580645,0.07575,"train",0.00355465979448491,0.9
"46",11,"affect",16,0.258064516129032,0.17225,"train",0.00736413117845994,0.9
"47",11,"enable",33,0.532258064516129,0.38375,"train",0.0220546452263267,0.9
"48",11,"cause",12,0.193548387096774,0.36825,"train",0.0305206535509886,0.9
"49",12,"no_difference",0,0,0.012,"test",0.000144,0.9
"50",12,"affect",1,0.0161290322580645,0.03475,"test",0.000346740439646202,0.9
"51",12,"enable",4,0.0645161290322581,0.1495,"test",0.00722225832466181,0.9
"52",12,"cause",57,0.919354838709677,0.80375,"test",0.0133644787330905,0.9
"53",13,"no_difference",1,0.0161290322580645,0.0115,"test",2.14279396462019e-05,0.9
"54",13,"affect",13,0.209677419354839,0.034,"test",0.0308625556711759,0.9
"55",13,"enable",12,0.193548387096774,0.1545,"test",0.00152477653485952,0.9
"56",13,"cause",36,0.580645161290323,0.8,"test",0.0481165452653486,0.9
"57",14,"no_difference",1,0.0161290322580645,0.067,"test",0.00258785535900104,0.9
"58",14,"affect",23,0.370967741935484,0.176,"test",0.0380124203954214,0.9
"59",14,"enable",23,0.370967741935484,0.3665,"test",1.99607180020813e-05,0.9
"60",14,"cause",15,0.241935483870968,0.3905,"test",0.0220714154526535,0.9
"61",15,"no_difference",0,0,0.01025,"train",0.0001050625,0.9
"62",15,"affect",12,0.193548387096774,0.031,"train",0.0264219781477627,0.9
"63",15,"enable",9,0.145161290322581,0.14225,"train",8.47561134235185e-06,0.9
"64",15,"cause",41,0.661290322580645,0.8165,"train",0.0240900439646202,0.9
"65",16,"no_difference",1,0.0161290322580645,0.079,"train",0.00395275858480749,0.9
"66",16,"affect",8,0.129032258064516,0.178,"train",0.00239783975026015,0.9
"67",16,"enable",7,0.112903225806452,0.371,"train",0.0666139448491155,0.9
"68",16,"cause",46,0.741935483870968,0.372,"train",0.136852262226847,0.9
"69",17,"no_difference",6,0.0967741935483871,0.677,"test",0.336661986472425,0.9
"70",17,"affect",41,0.661290322580645,0.218,"test",0.196506310093652,0.9
"71",17,"enable",11,0.17741935483871,0.0815,"test",0.0092005226326743,0.9
"72",17,"cause",4,0.0645161290322581,0.0235,"test",0.00168232284079084,0.9
"73",18,"no_difference",2,0.032258064516129,0.06725,"train",0.00122443554890739,0.9
"74",18,"affect",2,0.032258064516129,0.17025,"train",0.0190417742585848,0.9
"75",18,"enable",55,0.887096774193548,0.36025,"train",0.277567523478148,0.9
"76",18,"cause",3,0.0483870967741935,0.40225,"train",0.125218954279396,0.9
