"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.794,"train",0.0248418272632674,1.1
"2",0,"affect",1,0.0161290322580645,0.17375,"train",0.0248443694719043,1.1
"3",0,"enable",1,0.0161290322580645,0.0195,"train",1.13634235171696e-05,1.1
"4",0,"cause",1,0.0161290322580645,0.01275,"train",1.14178590010406e-05,1.1
"5",1,"no_difference",6,0.0967741935483871,0.19025,"train",0.0087377263917794,1.1
"6",1,"affect",7,0.112903225806452,0.4585,"train",0.119437130332986,1.1
"7",1,"enable",47,0.758064516129032,0.1815,"train",0.332426641259105,1.1
"8",1,"cause",2,0.032258064516129,0.16975,"train",0.0189040323231009,1.1
"9",2,"no_difference",39,0.629032258064516,0.351,"train",0.0773019365244537,1.1
"10",2,"affect",15,0.241935483870968,0.44325,"train",0.0405275344042664,1.1
"11",2,"enable",2,0.032258064516129,0.12325,"train",0.00827953232310094,1.1
"12",2,"cause",6,0.0967741935483871,0.0825,"train",0.000203752601456816,1.1
"13",3,"no_difference",3,0.0483870967741935,0.2345,"train",0.0346380127471384,1.1
"14",3,"affect",22,0.354838709677419,0.4585,"train",0.0107456631113424,1.1
"15",3,"enable",7,0.112903225806452,0.1695,"train",0.00320319484911551,1.1
"16",3,"cause",30,0.483870967741935,0.1375,"train",0.119972847294485,1.1
"17",4,"no_difference",36,0.580645161290323,0.28025,"test",0.0902372529266389,1.1
"18",4,"affect",18,0.290322580645161,0.45975,"test",0.0287056504292404,1.1
"19",4,"enable",6,0.0967741935483871,0.146,"test",0.00242318002081165,1.1
"20",4,"cause",2,0.032258064516129,0.114,"test",0.00668174401664932,1.1
"21",5,"no_difference",1,0.0161290322580645,0.053,"train",0.00135946826222685,1.1
"22",5,"affect",4,0.0645161290322581,0.2245,"train",0.0255948389698231,1.1
"23",5,"enable",6,0.0967741935483871,0.237,"train",0.0196632767950052,1.1
"24",5,"cause",51,0.82258064516129,0.4855,"train",0.113623361342352,1.1
"25",6,"no_difference",4,0.0645161290322581,0.039,"train",0.000651072840790843,1.1
"26",6,"affect",27,0.435483870967742,0.2365,"train",0.039594580905307,1.1
"27",6,"enable",12,0.193548387096774,0.24275,"train",0.00242079871227888,1.1
"28",6,"cause",19,0.306451612903226,0.48175,"train",0.0307295245187305,1.1
"29",7,"no_difference",13,0.209677419354839,0.268,"test",0.00340152341311134,1.1
"30",7,"affect",3,0.0483870967741935,0.4505,"test",0.161694786940687,1.1
"31",7,"enable",45,0.725806451612903,0.16075,"test",0.319288793509365,1.1
"32",7,"cause",1,0.0161290322580645,0.12075,"test",0.0109455468912591,1.1
"33",8,"no_difference",2,0.032258064516129,0.19825,"test",0.0275533226456816,1.1
"34",8,"affect",19,0.306451612903226,0.45375,"test",0.0216968148413111,1.1
