"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.70425,"test",0.0611884058922997,1.6
"2",0,"affect",1,0.0161290322580645,0.219,"test",0.0411566295525494,1.6
"3",0,"enable",1,0.0161290322580645,0.05325,"test",0.00137796624609781,1.6
"4",0,"cause",1,0.0161290322580645,0.0235,"test",5.43311654526535e-05,1.6
"5",1,"no_difference",6,0.0967741935483871,0.1935,"test",0.00935588163371488,1.6
"6",1,"affect",7,0.112903225806452,0.37925,"test",0.070940604123309,1.6
"7",1,"enable",47,0.758064516129032,0.2385,"test",0.269947286420396,1.6
"8",1,"cause",2,0.032258064516129,0.18875,"test",0.024489725871488,1.6
"9",2,"no_difference",39,0.629032258064516,0.43175,"test",0.0389202893470343,1.6
"10",2,"affect",15,0.241935483870968,0.36225,"test",0.0144755827913632,1.6
"11",2,"enable",2,0.032258064516129,0.1385,"test",0.011287348855359,1.6
"12",2,"cause",6,0.0967741935483871,0.0675,"test",0.000856978407908428,1.6
"13",3,"no_difference",3,0.0483870967741935,0.22225,"train",0.0302283091181061,1.6
"14",3,"affect",22,0.354838709677419,0.37,"train",0.000229864724245577,1.6
"15",3,"enable",7,0.112903225806452,0.2355,"train",0.0150299690426639,1.6
"16",3,"cause",30,0.483870967741935,0.17225,"train",0.0971076275364204,1.6
"17",4,"no_difference",36,0.580645161290323,0.24575,"train",0.112154769055671,1.6
"18",4,"affect",18,0.290322580645161,0.3805,"train",0.00813196696149844,1.6
"19",4,"enable",6,0.0967741935483871,0.225,"train",0.0164418574401665,1.6
"20",4,"cause",2,0.032258064516129,0.14875,"train",0.0135703710327784,1.6
"21",5,"no_difference",1,0.0161290322580645,0.14375,"train",0.0162871114073881,1.6
"22",5,"affect",4,0.0645161290322581,0.314,"train",0.0622422018730489,1.6
"23",5,"enable",6,0.0967741935483871,0.2775,"train",0.0326618171175859,1.6
"24",5,"cause",51,0.82258064516129,0.26475,"train",0.311175028681062,1.6
"25",6,"no_difference",4,0.0645161290322581,0.123,"train",0.00342036316337149,1.6
"26",6,"affect",27,0.435483870967742,0.33575,"train",0.0099468450182102,1.6
"27",6,"enable",12,0.193548387096774,0.287,"train",0.00873320395421436,1.6
"28",6,"cause",19,0.306451612903226,0.25425,"train",0.00272500838969823,1.6
"29",7,"no_difference",13,0.209677419354839,0.26325,"test",0.00287002139698231,1.6
"30",7,"affect",3,0.0483870967741935,0.37675,"test",0.10782219621488,1.6
"31",7,"enable",45,0.725806451612903,0.2205,"test",0.255334610041623,1.6
"32",7,"cause",1,0.0161290322580645,0.1395,"test",0.0152203956815817,1.6
"33",8,"no_difference",2,0.032258064516129,0.21,"test",0.0315921956295525,1.6
"34",8,"affect",19,0.306451612903226,0.3795,"test",0.00533606685744017,1.6
"35",8,"enable",16,0.258064516129032,0.24825,"test",9.63247268470342e-05,1.6
"36",8,"cause",25,0.403225806451613,0.16225,"test",0.0580693392950052,1.6
"37",9,"no_difference",5,0.0806451612903226,0.0675,"train",0.000172795265348595,1.6
"38",9,"affect",10,0.161290322580645,0.22075,"train",0.00353545323881374,1.6
"39",9,"enable",7,0.112903225806452,0.29575,"train",0.0334329428329865,1.6
"40",9,"cause",40,0.645161290322581,0.416,"train",0.0525148969823101,1.6
"41",10,"no_difference",2,0.032258064516129,0.134,"test",0.0103514214360042,1.6
"42",10,"affect",30,0.483870967741935,0.28875,"test",0.0380721920525494,1.6
"43",10,"enable",12,0.193548387096774,0.29375,"test",0.0100403632284079,1.6
"44",10,"cause",18,0.290322580645161,0.2835,"test",4.65476066597301e-05,1.6
"45",11,"no_difference",1,0.0161290322580645,0.12125,"test",0.011050417859001,1.6
"46",11,"affect",16,0.258064516129032,0.28175,"test",0.000561002146201873,1.6
"47",11,"enable",33,0.532258064516129,0.308,"test",0.0502916795005203,1.6
"48",11,"cause",12,0.193548387096774,0.289,"test",0.00911101040582726,1.6
"49",12,"no_difference",0,0,0.0295,"test",0.00087025,1.6
"50",12,"affect",1,0.0161290322580645,0.098,"test",0.00670285535900104,1.6
"51",12,"enable",4,0.0645161290322581,0.20075,"test",0.0185596675988554,1.6
"52",12,"cause",57,0.919354838709677,0.67175,"test",0.0613081561524454,1.6
"53",13,"no_difference",1,0.0161290322580645,0.0285,"train",0.000153040842872008,1.6
"54",13,"affect",13,0.209677419354839,0.10075,"train",0.0118651826873049,1.6
"55",13,"enable",12,0.193548387096774,0.20175,"train",6.72664542143603e-05,1.6
"56",13,"cause",36,0.580645161290323,0.669,"train",0.00780657752341311,1.6
"57",14,"no_difference",1,0.0161290322580645,0.059,"test",0.00183791987513007,1.6
"58",14,"affect",23,0.370967741935484,0.1905,"test",0.0325686058792924,1.6
"59",14,"enable",23,0.370967741935484,0.2705,"test",0.010093767169615,1.6
"60",14,"cause",15,0.241935483870968,0.48,"test",0.0566747138397503,1.6
"61",15,"no_difference",0,0,0.029,"train",0.000841,1.6
"62",15,"affect",12,0.193548387096774,0.1065,"train",0.00757742169614984,1.6
"63",15,"enable",9,0.145161290322581,0.20225,"train",0.00325912077263267,1.6
"64",15,"cause",41,0.661290322580645,0.66225,"train",9.20980749219635e-07,1.6
"65",16,"no_difference",1,0.0161290322580645,0.12625,"test",0.0121266275364204,1.6
"66",16,"affect",8,0.129032258064516,0.2875,"test",0.0251120252341311,1.6
"67",16,"enable",7,0.112903225806452,0.288,"test",0.0306588803329865,1.6
"68",16,"cause",46,0.741935483870968,0.29825,"test",0.196856808597815,1.6
"69",17,"no_difference",6,0.0967741935483871,0.382,"train",0.0813537606659729,1.6
"70",17,"affect",41,0.661290322580645,0.3815,"train",0.0782826246097815,1.6
"71",17,"enable",11,0.17741935483871,0.1495,"train",0.000779490374609782,1.6
"72",17,"cause",4,0.0645161290322581,0.087,"train",0.000505524453694068,1.6
"73",18,"no_difference",2,0.032258064516129,0.087,"train",0.00299667950052029,1.6
"74",18,"affect",2,0.032258064516129,0.24275,"train",0.0443068549037461,1.6
"75",18,"enable",55,0.887096774193548,0.282,"train",0.366142106139438,1.6
"76",18,"cause",3,0.0483870967741935,0.38825,"train",0.115506792989074,1.6
"77",19,"no_difference",6,0.0967741935483871,0.13225,"train",0.0012585328433923,1.6
"78",19,"affect",22,0.354838709677419,0.30525,"train",0.00245904012747138,1.6
"79",19,"enable",18,0.290322580645161,0.2895,"train",6.76638917794031e-07,1.6
"80",19,"cause",16,0.258064516129032,0.273,"train",0.000223068678459938,1.6
"81",20,"no_difference",11,0.17741935483871,0.1285,"train",0.00239310327783559,1.6
"82",20,"affect",36,0.580645161290323,0.312,"train",0.0721702226847035,1.6
"83",20,"enable",4,0.0645161290322581,0.28,"train",0.0464332986472425,1.6
"84",20,"cause",11,0.17741935483871,0.2795,"train",0.0104204581165453,1.6
"85",21,"no_difference",2,0.032258064516129,0.059,"train",0.000715131113423517,1.6
"86",21,"affect",15,0.241935483870968,0.1675,"train",0.0055406412591051,1.6
"87",21,"enable",30,0.483870967741935,0.2735,"train",0.0442559440686785,1.6
"88",21,"cause",15,0.241935483870968,0.5,"train",0.0665972944849115,1.6
"89",22,"no_difference",61,0.983870967741935,0.717,"train",0.0712201134235172,1.6
"90",22,"affect",0,0,0.21,"train",0.0441,1.6
"91",22,"enable",1,0.0161290322580645,0.051,"train",0.00121598439125911,1.6
"92",22,"cause",0,0,0.022,"train",0.000484,1.6
"93",23,"no_difference",60,0.967741935483871,0.708,"test",0.0674658730489074,1.6
"94",23,"affect",0,0,0.21975,"test",0.0482900625,1.6
"95",23,"enable",1,0.0161290322580645,0.049,"test",0.00108050052029136,1.6
"96",23,"cause",1,0.0161290322580645,0.02325,"test",5.07081815816857e-05,1.6
"97",24,"no_difference",2,0.032258064516129,0.06125,"test",0.000840532323100936,1.6
"98",24,"affect",31,0.5,0.2035,"test",0.08791225,1.6
"99",24,"enable",18,0.290322580645161,0.28225,"test",6.5166558272633e-05,1.6
"100",24,"cause",11,0.17741935483871,0.453,"test",0.075944691987513,1.6
"101",25,"no_difference",10,0.161290322580645,0.3085,"train",0.0216706891259105,1.6
"102",25,"affect",3,0.0483870967741935,0.39475,"train",0.119967260731009,1.6
"103",25,"enable",48,0.774193548387097,0.1905,"train",0.34069815842872,1.6
"104",25,"cause",1,0.0161290322580645,0.10625,"train",0.00812178882674298,1.6
