"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.8355,"train",0.0134822062955255,0.9
"2",0,"affect",1,0.0161290322580645,0.12875,"train",0.0126834823751301,0.9
"3",0,"enable",1,0.0161290322580645,0.0275,"train",0.000129298907388137,0.9
"4",0,"cause",1,0.0161290322580645,0.00825,"train",6.20791493236212e-05,0.9
"5",1,"no_difference",6,0.0967741935483871,0.27125,"test",0.0304418070369407,0.9
"6",1,"affect",7,0.112903225806452,0.4145,"test",0.0909606142039542,0.9
"7",1,"enable",47,0.758064516129032,0.20625,"test",0.304499260210718,0.9
"8",1,"cause",2,0.032258064516129,0.108,"test",0.00573684079084287,0.9
"9",2,"no_difference",39,0.629032258064516,0.4035,"test",0.0508647994276795,0.9
"10",2,"affect",15,0.241935483870968,0.388,"test",0.0213348428720083,0.9
"11",2,"enable",2,0.032258064516129,0.1475,"test",0.0132807036940687,0.9
"12",2,"cause",6,0.0967741935483871,0.061,"test",0.00127979292403746,0.9
"13",3,"no_difference",3,0.0483870967741935,0.24225,"test",0.0375828252471384,0.9
"14",3,"affect",22,0.354838709677419,0.3995,"test",0.00199463085327784,0.9
"15",3,"enable",7,0.112903225806452,0.232,"test",0.0141840416233091,0.9
"16",3,"cause",30,0.483870967741935,0.12625,"test",0.127892756568678,0.9
"17",4,"no_difference",36,0.580645161290323,0.3615,"train",0.0480246017169615,0.9
"18",4,"affect",18,0.290322580645161,0.40425,"train",0.0129794568808533,0.9
"19",4,"enable",6,0.0967741935483871,0.163,"train",0.00438585744016649,0.9
"20",4,"cause",2,0.032258064516129,0.07125,"train",0.00152037103277836,0.9
"21",5,"no_difference",1,0.0161290322580645,0.102,"train",0.00737382310093652,0.9
"22",5,"affect",4,0.0645161290322581,0.28975,"train",0.0507302966311134,0.9
"23",5,"enable",6,0.0967741935483871,0.3095,"train",0.0452522687304891,0.9
"24",5,"cause",51,0.82258064516129,0.29875,"train",0.274398544810094,0.9
"25",6,"no_difference",4,0.0645161290322581,0.08425,"train",0.000389425663371488,0.9
"26",6,"affect",27,0.435483870967742,0.297,"train",0.0191777825182102,0.9
"27",6,"enable",12,0.193548387096774,0.3345,"train",0.0198673571800208,0.9
"28",6,"cause",19,0.306451612903226,0.28425,"train",0.000492911615504683,0.9
"29",7,"no_difference",13,0.209677419354839,0.40125,"test",0.0367000536550468,0.9
"30",7,"affect",3,0.0483870967741935,0.39175,"test",0.117898083311655,0.9
"31",7,"enable",45,0.725806451612903,0.1455,"test",0.336755577783559,0.9
"32",7,"cause",1,0.0161290322580645,0.0615,"test",0.00205852471383975,0.9
"33",8,"no_difference",2,0.032258064516129,0.14375,"test",0.0124304516779396,0.9
"34",8,"affect",19,0.306451612903226,0.32375,"test",0.000299234196149843,0.9
"35",8,"enable",16,0.258064516129032,0.3175,"test",0.00353257674297607,0.9
"36",8,"cause",25,0.403225806451613,0.215,"test",0.03542895421436,0.9
"37",9,"no_difference",5,0.0806451612903226,0.02375,"test",0.00323705937825182,0.9
"38",9,"affect",10,0.161290322580645,0.1045,"test",0.00322514073881374,0.9
"39",9,"enable",7,0.112903225806452,0.24075,"test",0.0163447976716962,0.9
"40",9,"cause",40,0.645161290322581,0.631,"test",0.000200542143600416,0.9
"41",10,"no_difference",2,0.032258064516129,0.0755,"test",0.00186986498439126,0.9
"42",10,"affect",30,0.483870967741935,0.22125,"test",0.0689697726977107,0.9
"43",10,"enable",12,0.193548387096774,0.33025,"test",0.0186873309703434,0.9
"44",10,"cause",18,0.290322580645161,0.373,"test",0.00683555567117585,0.9
"45",11,"no_difference",1,0.0161290322580645,0.0665,"test",0.00253723439125911,0.9
"46",11,"affect",16,0.258064516129032,0.21225,"test",0.00209896988813736,0.9
"47",11,"enable",33,0.532258064516129,0.32825,"test",0.0416192903876171,0.9
"48",11,"cause",12,0.193548387096774,0.393,"test",0.0397809458896982,0.9
"49",12,"no_difference",0,0,0.012,"train",0.000144,0.9
"50",12,"affect",1,0.0161290322580645,0.05,"train",0.00114724245577523,0.9
"51",12,"enable",4,0.0645161290322581,0.1355,"train",0.00503870993756504,0.9
"52",12,"cause",57,0.919354838709677,0.8025,"train",0.0136550533298647,0.9
"53",13,"no_difference",1,0.0161290322580645,0.0125,"test",1.31698751300728e-05,0.9
"54",13,"affect",13,0.209677419354839,0.04525,"test",0.027036376235692,0.9
"55",13,"enable",12,0.193548387096774,0.14225,"test",0.00263152451873049,0.9
"56",13,"cause",36,0.580645161290323,0.8,"test",0.0481165452653486,0.9
"57",14,"no_difference",1,0.0161290322580645,0.02375,"test",5.80791493236212e-05,0.9
"58",14,"affect",23,0.370967741935484,0.10775,"test",0.069283579669615,0.9
"59",14,"enable",23,0.370967741935484,0.242,"test",0.0166326784599376,0.9
"60",14,"cause",15,0.241935483870968,0.6265,"test",0.147889867065557,0.9
"61",15,"no_difference",0,0,0.01,"train",1e-04,0.9
"62",15,"affect",12,0.193548387096774,0.0445,"train",0.0222154216961498,0.9
"63",15,"enable",9,0.145161290322581,0.13125,"train",0.000193523998439126,0.9
"64",15,"cause",41,0.661290322580645,0.81425,"train",0.0233966629162331,0.9
"65",16,"no_difference",1,0.0161290322580645,0.068,"train",0.00269059729448491,0.9
"66",16,"affect",8,0.129032258064516,0.223,"train",0.0088299365244537,0.9
"67",16,"enable",7,0.112903225806452,0.3155,"train",0.0410454529136316,0.9
"68",16,"cause",46,0.741935483870968,0.3935,"train",0.121407286420395,0.9
"69",17,"no_difference",6,0.0967741935483871,0.41625,"train",0.102064790907908,0.9
"70",17,"affect",41,0.661290322580645,0.377,"train",0.0808209875130073,0.9
"71",17,"enable",11,0.17741935483871,0.146,"train",0.00098717585848075,0.9
"72",17,"cause",4,0.0645161290322581,0.06075,"train",1.41837278876171e-05,0.9
"73",18,"no_difference",2,0.032258064516129,0.0835,"train",0.0026257359521332,0.9
"74",18,"affect",2,0.032258064516129,0.24925,"train",0.0470855000650364,0.9
"75",18,"enable",55,0.887096774193548,0.32025,"train",0.321315265413632,0.9
"76",18,"cause",3,0.0483870967741935,0.347,"train",0.0891696659729448,0.9
"77",19,"no_difference",6,0.0967741935483871,0.0655,"test",0.000978075182101977,0.9
"78",19,"affect",22,0.354838709677419,0.213,"test",0.0201182195629553,0.9
"79",19,"enable",18,0.290322580645161,0.33425,"test",0.00192961817117586,0.9
"80",19,"cause",16,0.258064516129032,0.38725,"test",0.0166888892429761,0.9
"81",20,"no_difference",11,0.17741935483871,0.21625,"test",0.00150781900364204,0.9
"82",20,"affect",36,0.580645161290323,0.3875,"test",0.0373050533298647,0.9
"83",20,"enable",4,0.0645161290322581,0.25875,"test",0.0377267966311134,0.9
"84",20,"cause",11,0.17741935483871,0.1375,"test",0.00159355489073881,0.9
"85",21,"no_difference",2,0.032258064516129,0.02925,"test",9.04845213319457e-06,0.9
"86",21,"affect",15,0.241935483870968,0.09525,"test",0.0215166311784599,0.9
"87",21,"enable",30,0.483870967741935,0.239,"test",0.059961790842872,0.9
"88",21,"cause",15,0.241935483870968,0.6365,"test",0.155681157388137,0.9
"89",22,"no_difference",61,0.983870967741935,0.841,"train",0.0204121134235172,0.9
"90",22,"affect",0,0,0.125,"train",0.015625,0.9
"91",22,"enable",1,0.0161290322580645,0.02475,"train",7.43210848074922e-05,0.9
"92",22,"cause",0,0,0.00925,"train",8.55625e-05,0.9
"93",23,"no_difference",60,0.967741935483871,0.84025,"test",0.0162541936134235,0.9
"94",23,"affect",0,0,0.12775,"test",0.0163200625,0.9
"95",23,"enable",1,0.0161290322580645,0.02325,"test",5.07081815816857e-05,0.9
"96",23,"cause",1,0.0161290322580645,0.00875,"test",5.44501170655567e-05,0.9
"97",24,"no_difference",2,0.032258064516129,0.03125,"train",1.01619406867846e-06,0.9
"98",24,"affect",31,0.5,0.134,"train",0.133956,0.9
"99",24,"enable",18,0.290322580645161,0.272,"train",0.000335716961498439,0.9
"100",24,"cause",11,0.17741935483871,0.56275,"train",0.148479706100416,0.9
"101",25,"no_difference",10,0.161290322580645,0.349,"train",0.0352349229968782,0.9
"102",25,"affect",3,0.0483870967741935,0.4105,"train",0.131125754682622,0.9
"103",25,"enable",48,0.774193548387097,0.17225,"train",0.362336035444849,0.9
"104",25,"cause",1,0.0161290322580645,0.06825,"train",0.00271659527835588,0.9
"105",26,"no_difference",0,0,0.0695,"train",0.00483025,0.9
"106",26,"affect",29,0.467741935483871,0.21725,"train",0.0627462097424558,0.9
"107",26,"enable",7,0.112903225806452,0.3165,"train",0.0414516464620187,0.9
"108",26,"cause",26,0.419354838709677,0.39675,"train",0.000510978733090532,0.9
"109",27,"no_difference",5,0.0806451612903226,0.055,"train",0.00065767429760666,0.9
"110",27,"affect",22,0.354838709677419,0.18225,"train",0.0297868627081166,0.9
"111",27,"enable",22,0.354838709677419,0.3295,"train",0.000642050208116545,0.9
"112",27,"cause",13,0.209677419354839,0.43325,"train",0.0499846988163372,0.9
"113",28,"no_difference",24,0.387096774193548,0.3395,"test",0.00226545291363163,0.9
"114",28,"affect",31,0.5,0.41,"test",0.0081,0.9
"115",28,"enable",0,0,0.1775,"test",0.03150625,0.9
"116",28,"cause",7,0.112903225806452,0.073,"test",0.00159226742976067,0.9
"117",29,"no_difference",61,0.983870967741935,0.83775,"train",0.0213513372138398,0.9
"118",29,"affect",0,0,0.12675,"train",0.0160655625,0.9
"119",29,"enable",0,0,0.026,"train",0.000676,0.9
"120",29,"cause",1,0.0161290322580645,0.0095,"train",4.39440686784599e-05,0.9
