"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.8445,"test",0.011473174037461,1.4
"2",0,"affect",1,0.0161290322580645,0.1165,"test",0.0100743311654527,1.4
"3",0,"enable",1,0.0161290322580645,0.032,"test",0.000251887617065557,1.4
"4",0,"cause",1,0.0161290322580645,0.007,"test",8.33392299687825e-05,1.4
"5",1,"no_difference",6,0.0967741935483871,0.19175,"train",0.00902040381113424,1.4
"6",1,"affect",7,0.112903225806452,0.342,"train",0.0524853319458897,1.4
"7",1,"enable",47,0.758064516129032,0.32725,"train",0.185601147307492,1.4
"8",1,"cause",2,0.032258064516129,0.139,"train",0.0113938407908429,1.4
"9",2,"no_difference",39,0.629032258064516,0.607,"train",0.000485420395421437,1.4
"10",2,"affect",15,0.241935483870968,0.2645,"train",0.000509157388137357,1.4
"11",2,"enable",2,0.032258064516129,0.1055,"train",0.00536438111342352,1.4
"12",2,"cause",6,0.0967741935483871,0.023,"train",0.00544263163371488,1.4
"13",3,"no_difference",3,0.0483870967741935,0.30375,"test",0.0652102123439126,1.4
"14",3,"affect",22,0.354838709677419,0.35625,"test",1.99174037460976e-06,1.4
"15",3,"enable",7,0.112903225806452,0.255,"test",0.0201914932362123,1.4
"16",3,"cause",30,0.483870967741935,0.085,"test",0.159098048907388,1.4
"17",4,"no_difference",36,0.580645161290323,0.39175,"train",0.035681381958897,1.4
"18",4,"affect",18,0.290322580645161,0.3555,"train",0.0042480959937565,1.4
"19",4,"enable",6,0.0967741935483871,0.1965,"train",0.00994523647242456,1.4
"20",4,"cause",2,0.032258064516129,0.05625,"train",0.000575612968262227,1.4
"21",5,"no_difference",1,0.0161290322580645,0.15275,"test",0.018665288826743,1.4
"22",5,"affect",4,0.0645161290322581,0.2785,"test",0.0457890970343392,1.4
"23",5,"enable",6,0.0967741935483871,0.37775,"test",0.0789474038111342,1.4
"24",5,"cause",51,0.82258064516129,0.191,"test",0.398894111342352,1.4
"25",6,"no_difference",4,0.0645161290322581,0.129,"test",0.00415816961498439,1.4
"26",6,"affect",27,0.435483870967742,0.3095,"test",0.0158719357440167,1.4
"27",6,"enable",12,0.193548387096774,0.37375,"test",0.032472621292924,1.4
"28",6,"cause",19,0.306451612903226,0.18775,"test",0.0140900729058273,1.4
"29",7,"no_difference",13,0.209677419354839,0.29275,"train",0.00690105365504683,1.4
"30",7,"affect",3,0.0483870967741935,0.34,"train",0.0850380853277836,1.4
"31",7,"enable",45,0.725806451612903,0.28075,"train",0.198075245122268,1.4
"32",7,"cause",1,0.0161290322580645,0.0865,"train",0.00495207310093652,1.4
"33",8,"no_difference",2,0.032258064516129,0.261,"test",0.0523228730489074,1.4
"34",8,"affect",19,0.306451612903226,0.351,"test",0.00198455879292404,1.4
"35",8,"enable",16,0.258064516129032,0.297,"test",0.00151597190426639,1.4
"36",8,"cause",25,0.403225806451613,0.091,"test",0.09748495421436,1.4
"37",9,"no_difference",5,0.0806451612903226,0.04525,"test",0.00125281744276795,1.4
"38",9,"affect",10,0.161290322580645,0.1395,"test",0.000474818158168574,1.4
"39",9,"enable",7,0.112903225806452,0.3855,"test",0.0743090013007284,1.4
"40",9,"cause",40,0.645161290322581,0.42975,"test",0.0464020239984391,1.4
"41",10,"no_difference",2,0.032258064516129,0.13825,"test",0.0112342903876171,1.4
"42",10,"affect",30,0.483870967741935,0.2525,"test",0.0535325247138398,1.4
"43",10,"enable",12,0.193548387096774,0.4075,"test",0.0457752926638918,1.4
"44",10,"cause",18,0.290322580645161,0.20175,"test",0.0078451020421436,1.4
"45",11,"no_difference",1,0.0161290322580645,0.12325,"test",0.0114749017299688,1.4
"46",11,"affect",16,0.258064516129032,0.24225,"test",0.000250098920395421,1.4
"47",11,"enable",33,0.532258064516129,0.40725,"test",0.0156270161940687,1.4
"48",11,"cause",12,0.193548387096774,0.22725,"test",0.00113579871227888,1.4
"49",12,"no_difference",0,0,0.015,"train",0.000225,1.4
"50",12,"affect",1,0.0161290322580645,0.049,"train",0.00108050052029136,1.4
"51",12,"enable",4,0.0645161290322581,0.1955,"train",0.0171567744536941,1.4
"52",12,"cause",57,0.919354838709677,0.7405,"train",0.0319890533298647,1.4
"53",13,"no_difference",1,0.0161290322580645,0.01475,"train",1.90172996878252e-06,1.4
"54",13,"affect",13,0.209677419354839,0.0435,"train",0.0276149347034339,1.4
"55",13,"enable",12,0.193548387096774,0.20375,"train",0.000104072905827263,1.4
"56",13,"cause",36,0.580645161290323,0.738,"train",0.0247605452653486,1.4
"57",14,"no_difference",1,0.0161290322580645,0.057,"test",0.00167043600416233,1.4
"58",14,"affect",23,0.370967741935484,0.16975,"test",0.040488579669615,1.4
"59",14,"enable",23,0.370967741935484,0.38175,"test",0.000116257088969823,1.4
"60",14,"cause",15,0.241935483870968,0.3915,"test",0.0223695444849116,1.4
"61",15,"no_difference",0,0,0.01425,"test",0.0002030625,1.4
"62",15,"affect",12,0.193548387096774,0.04925,"test",0.0208220245187305,1.4
"63",15,"enable",9,0.145161290322581,0.213,"test",0.00460209053069719,1.4
"64",15,"cause",41,0.661290322580645,0.7235,"test",0.0038700439646202,1.4
"65",16,"no_difference",1,0.0161290322580645,0.12325,"train",0.0114749017299688,1.4
"66",16,"affect",8,0.129032258064516,0.25325,"train",0.0154300474115505,1.4
"67",16,"enable",7,0.112903225806452,0.3975,"train",0.0809953238813736,1.4
"68",16,"cause",46,0.741935483870968,0.226,"train",0.26618942351717,1.4
"69",17,"no_difference",6,0.0967741935483871,0.67225,"test",0.331172403811134,1.4
"70",17,"affect",41,0.661290322580645,0.22625,"test",0.189260082271072,1.4
"71",17,"enable",11,0.17741935483871,0.083,"test",0.00891501456815817,1.4
"72",17,"cause",4,0.0645161290322581,0.0185,"test",0.00211748413111342,1.4
"73",18,"no_difference",2,0.032258064516129,0.053,"train",0.000430227887617066,1.4
"74",18,"affect",2,0.032258064516129,0.1415,"train",0.0119338004682622,1.4
"75",18,"enable",55,0.887096774193548,0.3685,"train",0.268942614203954,1.4
"76",18,"cause",3,0.0483870967741935,0.437,"train",0.15101998855359,1.4
"77",19,"no_difference",6,0.0967741935483871,0.13275,"train",0.00129425864984391,1.4
"78",19,"affect",22,0.354838709677419,0.26275,"train",0.00848033045005204,1.4
"79",19,"enable",18,0.290322580645161,0.39125,"train",0.0101863439776275,1.4
"80",19,"cause",16,0.258064516129032,0.21325,"train",0.00200834085587929,1.4
"81",20,"no_difference",11,0.17741935483871,0.165,"test",0.000154240374609781,1.4
"82",20,"affect",36,0.580645161290323,0.30575,"test",0.0755673497008325,1.4
"83",20,"enable",4,0.0645161290322581,0.364,"test",0.0896905889698231,1.4
"84",20,"cause",11,0.17741935483871,0.16525,"test",0.000148093197190427,1.4
"85",21,"no_difference",2,0.032258064516129,0.061,"train",0.000826098855359001,1.4
"86",21,"affect",15,0.241935483870968,0.14775,"train",0.00887090537200833,1.4
"87",21,"enable",30,0.483870967741935,0.39025,"train",0.00876488560093653,1.4
"88",21,"cause",15,0.241935483870968,0.401,"train",0.0253015202913632,1.4
"89",22,"no_difference",61,0.983870967741935,0.85375,"test",0.0169314662460978,1.4
"90",22,"affect",0,0,0.11075,"test",0.0122655625,1.4
"91",22,"enable",1,0.0161290322580645,0.028,"test",0.000140919875130073,1.4
"92",22,"cause",0,0,0.0075,"test",5.625e-05,1.4
"93",23,"no_difference",60,0.967741935483871,0.854,"train",0.0129372278876171,1.4
"94",23,"affect",0,0,0.10725,"train",0.0115025625,1.4
"95",23,"enable",1,0.0161290322580645,0.033,"train",0.000284629552549428,1.4
"96",23,"cause",1,0.0161290322580645,0.00575,"train",0.000107724310613944,1.4
"97",24,"no_difference",2,0.032258064516129,0.047,"train",0.000217324661810614,1.4
"98",24,"affect",31,0.5,0.14575,"train",0.1254930625,1.4
"99",24,"enable",18,0.290322580645161,0.3815,"train",0.00831332180020811,1.4
"100",24,"cause",11,0.17741935483871,0.42575,"train",0.0616681093262227,1.4
"101",25,"no_difference",10,0.161290322580645,0.32725,"test",0.0275426145291363,1.4
"102",25,"affect",3,0.0483870967741935,0.35925,"test",0.0966357446019771,1.4
"103",25,"enable",48,0.774193548387097,0.2475,"test",0.277406093912591,1.4
"104",25,"cause",1,0.0161290322580645,0.066,"test",0.00248711342351717,1.4
"105",26,"no_difference",0,0,0.11925,"train",0.0142205625,1.4
"106",26,"affect",29,0.467741935483871,0.261,"train",0.042742227887617,1.4
"107",26,"enable",7,0.112903225806452,0.39225,"train",0.0780346202523413,1.4
"108",26,"cause",26,0.419354838709677,0.2275,"train",0.0368082791363163,1.4
"109",27,"no_difference",5,0.0806451612903226,0.19325,"train",0.0126798497008325,1.4
"110",27,"affect",22,0.354838709677419,0.32875,"train",0.000680620772632676,1.4
"111",27,"enable",22,0.354838709677419,0.35225,"train",6.70141779396467e-06,1.4
"112",27,"cause",13,0.209677419354839,0.12575,"train",0.00704381171956296,1.4
