"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.78475,"test",0.0278432284729449,1.6
"2",0,"affect",1,0.0161290322580645,0.15975,"test",0.0206269823751301,1.6
"3",0,"enable",1,0.0161290322580645,0.03975,"test",0.000557950117065557,1.6
"4",0,"cause",1,0.0161290322580645,0.01575,"test",1.43665452653486e-07,1.6
"5",1,"no_difference",6,0.0967741935483871,0.18875,"test",0.00845954897242456,1.6
"6",1,"affect",7,0.112903225806452,0.34425,"test",0.0535213299297607,1.6
"7",1,"enable",47,0.758064516129032,0.26475,"test",0.243359211823621,1.6
"8",1,"cause",2,0.032258064516129,0.20225,"test",0.0288972581295526,1.6
"9",2,"no_difference",39,0.629032258064516,0.4855,"train",0.0206015091050989,1.6
"10",2,"affect",15,0.241935483870968,0.336,"train",0.00884813319458897,1.6
"11",2,"enable",2,0.032258064516129,0.12275,"train",0.00818879038761706,1.6
"12",2,"cause",6,0.0967741935483871,0.05575,"train",0.00168298445629553,1.6
"13",3,"no_difference",3,0.0483870967741935,0.2365,"train",0.0353864643600416,1.6
"14",3,"affect",22,0.354838709677419,0.359,"train",1.73163371488031e-05,1.6
"15",3,"enable",7,0.112903225806452,0.2385,"train",0.0157745496878252,1.6
"16",3,"cause",30,0.483870967741935,0.166,"train",0.101041952133195,1.6
"17",4,"no_difference",36,0.580645161290323,0.258,"train",0.104099900104058,1.6
"18",4,"affect",18,0.290322580645161,0.3645,"train",0.0055022895421436,1.6
"19",4,"enable",6,0.0967741935483871,0.2325,"train",0.0184214945369407,1.6
"20",4,"cause",2,0.032258064516129,0.145,"train",0.0127107440166493,1.6
"21",5,"no_difference",1,0.0161290322580645,0.128,"train",0.0125151134235172,1.6
"22",5,"affect",4,0.0645161290322581,0.273,"train",0.0434655244536941,1.6
"23",5,"enable",6,0.0967741935483871,0.29225,"train",0.0382107909079084,1.6
"24",5,"cause",51,0.82258064516129,0.30675,"train",0.266081254487513,1.6
"25",6,"no_difference",4,0.0645161290322581,0.1105,"test",0.00211451638917794,1.6
"26",6,"affect",27,0.435483870967742,0.29425,"test",0.0199470063085328,1.6
"27",6,"enable",12,0.193548387096774,0.30175,"test",0.0117075890348595,1.6
"28",6,"cause",19,0.306451612903226,0.2935,"test",0.000167744276795006,1.6
"29",7,"no_difference",13,0.209677419354839,0.264,"test",0.00295094276795005,1.6
"30",7,"affect",3,0.0483870967741935,0.35675,"test",0.0950876800858481,1.6
"31",7,"enable",45,0.725806451612903,0.23175,"test",0.244091777380333,1.6
"32",7,"cause",1,0.0161290322580645,0.1475,"test",0.0172583311654526,1.6
"33",8,"no_difference",2,0.032258064516129,0.2285,"train",0.0385108972424558,1.6
"34",8,"affect",19,0.306451612903226,0.36225,"train",0.00311346000260146,1.6
"35",8,"enable",16,0.258064516129032,0.2515,"train",4.30928720083246e-05,1.6
"36",8,"cause",25,0.403225806451613,0.15775,"train",0.0602583715530697,1.6
"37",9,"no_difference",5,0.0806451612903226,0.05325,"test",0.000750494862122789,1.6
"38",9,"affect",10,0.161290322580645,0.17625,"test",0.000223791948491155,1.6
"39",9,"enable",7,0.112903225806452,0.29175,"test",0.0319861686394381,1.6
"40",9,"cause",40,0.645161290322581,0.47875,"test",0.0276927175468262,1.6
"41",10,"no_difference",2,0.032258064516129,0.13125,"train",0.00979940329084287,1.6
"42",10,"affect",30,0.483870967741935,0.26575,"train",0.0475767565686785,1.6
"43",10,"enable",12,0.193548387096774,0.30325,"train",0.0120344438735692,1.6
"44",10,"cause",18,0.290322580645161,0.29975,"train",8.88762356919874e-05,1.6
"45",11,"no_difference",1,0.0161290322580645,0.11925,"test",0.0106339339880333,1.6
"46",11,"affect",16,0.258064516129032,0.25875,"test",4.69888137356902e-07,1.6
"47",11,"enable",33,0.532258064516129,0.3115,"test",0.0487341230489074,1.6
"48",11,"cause",12,0.193548387096774,0.3105,"test",0.013677679760666,1.6
"49",12,"no_difference",0,0,0.0195,"train",0.00038025,1.6
"50",12,"affect",1,0.0161290322580645,0.0655,"train",0.00243749245577523,1.6
"51",12,"enable",4,0.0645161290322581,0.148,"train",0.00696955671175858,1.6
"52",12,"cause",57,0.919354838709677,0.767,"train",0.0232119968782518,1.6
"53",13,"no_difference",1,0.0161290322580645,0.0185,"test",5.62148803329864e-06,1.6
"54",13,"affect",13,0.209677419354839,0.05925,"test",0.0226284084937565,1.6
"55",13,"enable",12,0.193548387096774,0.1565,"test",0.00137258298647242,1.6
"56",13,"cause",36,0.580645161290323,0.76575,"test",0.0342638013137357,1.6
"57",14,"no_difference",1,0.0161290322580645,0.1225,"train",0.0113147827783559,1.6
"58",14,"affect",23,0.370967741935484,0.275,"train",0.00920980749219563,1.6
"59",14,"enable",23,0.370967741935484,0.28075,"train",0.00813924095993757,1.6
"60",14,"cause",15,0.241935483870968,0.32175,"train",0.00637035698491155,1.6
"61",15,"no_difference",0,0,0.0205,"train",0.00042025,1.6
"62",15,"affect",12,0.193548387096774,0.06675,"train",0.0160778309703434,1.6
"63",15,"enable",9,0.145161290322581,0.158,"train",0.000164832466181061,1.6
"64",15,"cause",41,0.661290322580645,0.75475,"train",0.00873471130332988,1.6
"65",16,"no_difference",1,0.0161290322580645,0.119,"test",0.0105824360041623,1.6
"66",16,"affect",8,0.129032258064516,0.2655,"test",0.0186234445889698,1.6
"67",16,"enable",7,0.112903225806452,0.29825,"test",0.0343534267039542,1.6
"68",16,"cause",46,0.741935483870968,0.31725,"test",0.180357760210718,1.6
"69",17,"no_difference",6,0.0967741935483871,0.6795,"test",0.339569365504683,1.6
"70",17,"affect",41,0.661290322580645,0.22875,"test",0.187091130658169,1.6
"71",17,"enable",11,0.17741935483871,0.0645,"test",0.0127507806971904,1.6
"72",17,"cause",4,0.0645161290322581,0.02725,"test",0.00138876437304891,1.6
"73",18,"no_difference",2,0.032258064516129,0.07075,"train",0.00148162909729448,1.6
"74",18,"affect",2,0.032258064516129,0.2,"train",0.0281373569198751,1.6
"75",18,"enable",55,0.887096774193548,0.27775,"train",0.371303491220083,1.6
"76",18,"cause",3,0.0483870967741935,0.4515,"train",0.162500012747138,1.6
"77",19,"no_difference",6,0.0967741935483871,0.12875,"train",0.00102245219823101,1.6
"78",19,"affect",22,0.354838709677419,0.27775,"train",0.00594266915972945,1.6
"79",19,"enable",18,0.290322580645161,0.3035,"train",0.000173644380853277,1.6
"80",19,"cause",16,0.258064516129032,0.29,"train",0.00101987513007284,1.6
"81",20,"no_difference",11,0.17741935483871,0.12,"test",0.00329698231009365,1.6
"82",20,"affect",36,0.580645161290323,0.26875,"test",0.0972785916363164,1.6
"83",20,"enable",4,0.0645161290322581,0.3015,"test",0.0561613550988554,1.6
"84",20,"cause",11,0.17741935483871,0.30975,"test",0.0175113996488033,1.6
"85",21,"no_difference",2,0.032258064516129,0.108,"test",0.00573684079084287,1.6
"86",21,"affect",15,0.241935483870968,0.25775,"test",0.000250098920395421,1.6
"87",21,"enable",30,0.483870967741935,0.2945,"test",0.0358613634235172,1.6
"88",21,"cause",15,0.241935483870968,0.33975,"test",0.00956767956555671,1.6
"89",22,"no_difference",61,0.983870967741935,0.79725,"train",0.0348273856009365,1.6
"90",22,"affect",0,0,0.1515,"train",0.02295225,1.6
"91",22,"enable",1,0.0161290322580645,0.03725,"train",0.000446095278355879,1.6
"92",22,"cause",0,0,0.014,"train",0.000196,1.6
"93",23,"no_difference",60,0.967741935483871,0.79575,"test",0.0295812258714881,1.6
"94",23,"affect",0,0,0.15325,"test",0.0234855625,1.6
"95",23,"enable",1,0.0161290322580645,0.03575,"test",0.000384982375130073,1.6
"96",23,"cause",1,0.0161290322580645,0.01525,"test",7.72697710718002e-07,1.6
"97",24,"no_difference",2,0.032258064516129,0.05025,"train",0.000323709742455775,1.6
"98",24,"affect",31,0.5,0.1605,"train",0.11526025,1.6
"99",24,"enable",18,0.290322580645161,0.276,"train",0.000205136316337149,1.6
"100",24,"cause",11,0.17741935483871,0.51325,"train",0.112782222229448,1.6
"101",25,"no_difference",10,0.161290322580645,0.3445,"train",0.033565785900104,1.6
"102",25,"affect",3,0.0483870967741935,0.37725,"train",0.108150809118106,1.6
"103",25,"enable",48,0.774193548387097,0.18575,"train",0.346265809638398,1.6
