"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.662,"test",0.0838756337148803,1.3
"2",0,"affect",1,0.0161290322580645,0.242,"test",0.0510176940686785,1.3
"3",0,"enable",1,0.0161290322580645,0.0675,"test",0.00263897632674298,1.3
"4",0,"cause",1,0.0161290322580645,0.0285,"test",0.000153040842872008,1.3
"5",1,"no_difference",6,0.0967741935483871,0.1195,"train",0.000516462278876171,1.3
"6",1,"affect",7,0.112903225806452,0.3,"train",0.0350052029136316,1.3
"7",1,"enable",47,0.758064516129032,0.2915,"train",0.217682447710718,1.3
"8",1,"cause",2,0.032258064516129,0.289,"train",0.0659164214360041,1.3
"9",2,"no_difference",39,0.629032258064516,0.36225,"train",0.0711727732180021,1.3
"10",2,"affect",15,0.241935483870968,0.3865,"train",0.0208988993236212,1.3
"11",2,"enable",2,0.032258064516129,0.15875,"train",0.0160002097424558,1.3
"12",2,"cause",6,0.0967741935483871,0.0925,"train",1.82687304890739e-05,1.3
"13",3,"no_difference",3,0.0483870967741935,0.215,"test",0.027759859521332,1.3
"14",3,"affect",22,0.354838709677419,0.376,"test",0.000447800208116545,1.3
"15",3,"enable",7,0.112903225806452,0.23625,"test",0.0152144267039542,1.3
"16",3,"cause",30,0.483870967741935,0.17275,"test",0.0967962565686785,1.3
"17",4,"no_difference",36,0.580645161290323,0.25825,"test",0.103938640023413,1.3
"18",4,"affect",18,0.290322580645161,0.38775,"test",0.00949210204214359,1.3
"19",4,"enable",6,0.0967741935483871,0.213,"test",0.0135084380853278,1.3
"20",4,"cause",2,0.032258064516129,0.141,"test",0.0118248085327784,1.3
"21",5,"no_difference",1,0.0161290322580645,0.06925,"train",0.00282183721383975,1.3
"22",5,"affect",4,0.0645161290322581,0.2015,"train",0.018764580905307,1.3
"23",5,"enable",6,0.0967741935483871,0.28775,"train",0.0364717586498439,1.3
"24",5,"cause",51,0.82258064516129,0.4415,"train",0.145222458116545,1.3
"25",6,"no_difference",4,0.0645161290322581,0.0565,"test",6.42583246618106e-05,1.3
"26",6,"affect",27,0.435483870967742,0.20325,"test",0.0539325708246618,1.3
"27",6,"enable",12,0.193548387096774,0.30175,"test",0.0117075890348595,1.3
"28",6,"cause",19,0.306451612903226,0.4385,"test",0.0174367765348595,1.3
"29",7,"no_difference",13,0.209677419354839,0.15575,"train",0.00290816655827263,1.3
"30",7,"affect",3,0.0483870967741935,0.34225,"train",0.0863554058922997,1.3
"31",7,"enable",45,0.725806451612903,0.268,"train",0.209586747138398,1.3
"32",7,"cause",1,0.0161290322580645,0.234,"train",0.0474677585848075,1.3
"33",8,"no_difference",2,0.032258064516129,0.197,"train",0.0271399053069719,1.3
"34",8,"affect",19,0.306451612903226,0.36625,"train",0.00357584709937565,1.3
"35",8,"enable",16,0.258064516129032,0.2585,"train",1.89646201873062e-07,1.3
"36",8,"cause",25,0.403225806451613,0.17825,"train",0.0506141134885536,1.3
"37",9,"no_difference",5,0.0806451612903226,0.03775,"train",0.00183999486212279,1.3
"38",9,"affect",10,0.161290322580645,0.14775,"train",0.000183340335587929,1.3
"39",9,"enable",7,0.112903225806452,0.2445,"train",0.0173177109781478,1.3
"40",9,"cause",40,0.645161290322581,0.57,"train",0.00564921956295526,1.3
"41",10,"no_difference",2,0.032258064516129,0.125,"train",0.00860106659729449,1.3
"42",10,"affect",30,0.483870967741935,0.2755,"train",0.0434184601977107,1.3
"43",10,"enable",12,0.193548387096774,0.29475,"train",0.0102417664542144,1.3
"44",10,"cause",18,0.290322580645161,0.30475,"train",0.000208150429240375,1.3
"45",11,"no_difference",1,0.0161290322580645,0.12475,"test",0.0117985146331946,1.3
"46",11,"affect",16,0.258064516129032,0.28925,"test",0.00097253440426639,1.3
"47",11,"enable",33,0.532258064516129,0.2965,"test",0.0555818649843913,1.3
"48",11,"cause",12,0.193548387096774,0.2895,"test",0.00920671201873049,1.3
"49",12,"no_difference",0,0,0.01675,"train",0.0002805625,1.3
"50",12,"affect",1,0.0161290322580645,0.0645,"train",0.00233975052029136,1.3
"51",12,"enable",4,0.0645161290322581,0.147,"train",0.0068035889698231,1.3
"52",12,"cause",57,0.919354838709677,0.77175,"train",0.0217871884105099,1.3
"53",13,"no_difference",1,0.0161290322580645,0.01725,"train",1.25656867845994e-06,1.3
"54",13,"affect",13,0.209677419354839,0.0615,"train",0.0219565476066597,1.3
"55",13,"enable",12,0.193548387096774,0.1525,"train",0.00168497008324662,1.3
"56",13,"cause",36,0.580645161290323,0.76875,"train",0.0353834303459938,1.3
"57",14,"no_difference",1,0.0161290322580645,0.1005,"test",0.00711846019771072,1.3
"58",14,"affect",23,0.370967741935484,0.27075,"test",0.0100435957986472,1.3
"59",14,"enable",23,0.370967741935484,0.27425,"test",0.00935432160509886,1.3
"60",14,"cause",15,0.241935483870968,0.3545,"test",0.0126707702913632,1.3
"61",15,"no_difference",0,0,0.017,"train",0.000289,1.3
"62",15,"affect",12,0.193548387096774,0.06275,"train",0.0171082180671176,1.3
"63",15,"enable",9,0.145161290322581,0.1415,"train",1.34050468262229e-05,1.3
"64",15,"cause",41,0.661290322580645,0.77875,"train",0.0137967758194589,1.3
"65",16,"no_difference",1,0.0161290322580645,0.1285,"train",0.0126272343912591,1.3
"66",16,"affect",8,0.129032258064516,0.2935,"train",0.0270496381373569,1.3
"67",16,"enable",7,0.112903225806452,0.28475,"train",0.0295313138007284,1.3
