"","trial","response","n","data_y","model_y","half","sq_err","uncertainty_noise"
"1",0,"no_difference",59,0.951612903225806,0.78575,"test",0.0275105026664933,1.2
"2",0,"affect",1,0.0161290322580645,0.17925,"test",0.0266084501170656,1.2
"3",0,"enable",1,0.0161290322580645,0.026,"test",9.74360041623309e-05,1.2
"4",0,"cause",1,0.0161290322580645,0.009,"test",5.08231009365245e-05,1.2
"5",1,"no_difference",6,0.0967741935483871,0.448,"test",0.123359567117586,1.2
"6",1,"affect",7,0.112903225806452,0.39925,"test",0.081994475091051,1.2
"7",1,"enable",47,0.758064516129032,0.10475,"test",0.426819856984912,1.2
"8",1,"cause",2,0.032258064516129,0.048,"test",0.000247808532778356,1.2
"9",2,"no_difference",39,0.629032258064516,0.4615,"train",0.0280670574921956,1.2
"10",2,"affect",15,0.241935483870968,0.397,"train",0.0240450041623309,1.2
"11",2,"enable",2,0.032258064516129,0.099,"train",0.0044544859521332,1.2
"12",2,"cause",6,0.0967741935483871,0.0425,"train",0.00294568808532778,1.2
"13",3,"no_difference",3,0.0483870967741935,0.209,"train",0.0257965046826223,1.2
"14",3,"affect",22,0.354838709677419,0.45325,"train",0.00968478206295525,1.2
"15",3,"enable",7,0.112903225806452,0.21025,"train",0.0094763944458897,1.2
"16",3,"cause",30,0.483870967741935,0.1275,"train",0.127000266649324,1.2
"17",4,"no_difference",36,0.580645161290323,0.37575,"train",0.0419820271201873,1.2
"18",4,"affect",18,0.290322580645161,0.44575,"train",0.0241576826873049,1.2
"19",4,"enable",6,0.0967741935483871,0.118,"train",0.000450534859521332,1.2
"20",4,"cause",2,0.032258064516129,0.0605,"train",0.00079760691987513,1.2
"21",5,"no_difference",1,0.0161290322580645,0.29675,"test",0.0787481275364204,1.2
"22",5,"affect",4,0.0645161290322581,0.452,"test",0.150143750260146,1.2
"23",5,"enable",6,0.0967741935483871,0.161,"test",0.00412495421436004,1.2
"24",5,"cause",51,0.82258064516129,0.09025,"test",0.536308173842352,1.2
"25",6,"no_difference",4,0.0645161290322581,0.28525,"train",0.0487234417924037,1.2
"26",6,"affect",27,0.435483870967742,0.46825,"train",0.00107361921175858,1.2
"27",6,"enable",12,0.193548387096774,0.15925,"train",0.00117637935744017,1.2
"28",6,"cause",19,0.306451612903226,0.08725,"train",0.0480493470993757,1.2
"29",7,"no_difference",13,0.209677419354839,0.569,"test",0.129112716961498,1.2
"30",7,"affect",3,0.0483870967741935,0.333,"test",0.0810045046826223,1.2
"31",7,"enable",45,0.725806451612903,0.066,"test",0.43534455359001,1.2
"32",7,"cause",1,0.0161290322580645,0.032,"test",0.000251887617065557,1.2
"33",8,"no_difference",2,0.032258064516129,0.15975,"test",0.0162541936134235,1.2
"34",8,"affect",19,0.306451612903226,0.424,"test",0.0138176233090531,1.2
"35",8,"enable",16,0.258064516129032,0.25275,"test",2.82440816857442e-05,1.2
"36",8,"cause",25,0.403225806451613,0.1635,"test",0.0574684622788762,1.2
"37",9,"no_difference",5,0.0806451612903226,0.067,"test",0.000186190426638918,1.2
"38",9,"affect",10,0.161290322580645,0.3065,"test",0.0210858504162331,1.2
"39",9,"enable",7,0.112903225806452,0.30375,"test",0.0364224912200833,1.2
"40",9,"cause",40,0.645161290322581,0.32275,"test",0.103949040127471,1.2
"41",10,"no_difference",2,0.032258064516129,0.0835,"train",0.0026257359521332,1.2
"42",10,"affect",30,0.483870967741935,0.305,"train",0.0319948231009365,1.2
"43",10,"enable",12,0.193548387096774,0.2935,"train",0.00999032492195629,1.2
"44",10,"cause",18,0.290322580645161,0.318,"train",0.0007660395421436,1.2
"45",11,"no_difference",1,0.0161290322580645,0.07225,"test",0.00314956302029136,1.2
"46",11,"affect",16,0.258064516129032,0.286,"test",0.000780391259105098,1.2
"47",11,"enable",33,0.532258064516129,0.30575,"test",0.0513059032908428,1.2
"48",11,"cause",12,0.193548387096774,0.336,"test",0.0202924620187305,1.2
